22    J0024-7204U   clf+00     305.89 -44.90 0.0043428266963896       4  fck+03     9.5229E-20          16  fck+03     24.335         4  fkl+01     4.00   +2.49    tc93       7.23e+08 ELL1    fck+03     *                               
23    J0024-7204V   clf+00     305.89 -44.89 0.004810                 1  clf+00     *                    0  *          24.1           1  clf+00     2.49   +2.49    tc93       *        *       *          *                               
24    J0024-7204W   clf+00     305.89 -44.89 0.002352344              1  clf+00     *                    0  *          24.3           1  clf+00     4.00   +2.49    tc93       *        BT      egc+02     *                               
25    J0024-7204X   fre08      305.89 -44.89 0.004771                 0  fre08      *                    0  *          24.0           2  fre08      4.00   +2.49    tc93       *        *       *          *                               

26    J0024-7204Y   fre08      305.89 -44.89 0.00219666               0  fre08      *                    0  *          24.2           1  fre08      4.00   +2.49    tc93       *        BT      fre08      *                               
27    J0024-7204Z   fre08      305.89 -44.89 0.004554                 0  fre08      *                    0  *          24.47          1  fre08      4.00   +2.49    tc93       *        *       *          *                               
28    J0026+6320    jml+09     120.18 0.59   0.318357731235           1  jml+09     0.15006E-15          6  jml+09     230.31         0  jml+09     13.60  13.60    tc93       3.36e+07 *       *          *                               
29    J0030+0451    lzb+00     113.14 -57.61 0.0048654532073692       3  aaa+09e    1.01736E-20         10  aaa+09e    4.333          1  aaa+09e    0.28   0.23     tc93       7.58e+09 *       *          HE[btlb00,aaa+09e]              
30    J0033+57      hrk+08     120.41 -5.78  0.315                    0  hrk+08     *                    0  *          76             0  hrk+08     3.34   3.34     tc93       *        *       *          *                               

31    J0033+61      hrk+08     120.70 -1.79  0.912                    0  hrk+08     *                    0  *          37             0  hrk+08     1.92   1.92     tc93       *        *       *          *                               
32    J0034-0534    bhl+94     111.49 -68.07 0.0018771818845850       2  aaa+10b    4.966E-21            1  aaa+10b    13.76517       4  aaa+10b    0.98   0.98     tc93       5.99e+09 ELL1    hlk+04     HE[aaa+10b]                     
33    B0031-07      lvw69a     110.42 -69.82 0.9429509945598         17  hlk+04     4.08210E-16          7  hlk+04     11.38          8  hlk+04     1.03   0.72     tc93       3.66e+07 *       *          *                               
34    B0037+56      dtws85     121.45 -5.57  1.1182253452412         13  hlk+04     2.878973E-15        12  hlk+04     92.595         9  hlk+04     4.48   4.48     tc93       6.15e+06 *       *          *                               
35    J0045-7042    mfl+06     303.65 -46.42 0.63233580002            6  mfl+06     2.49E-15             3  mfl+06     70             3  mfl+06     62.40  +2.43    tc93       4.02e+06 *       *          *                               

36    J0045-7319    mmh+91     303.51 -43.80 0.92627590497            3  kbm+96     4.4632E-15           9  kbm+96     105.4          7  kjb+94     62.40  +2.55    tc93       3.29e+06 BT      kbm+96     *                               
37    B0045+33      dtws85     122.26 -28.67 1.217094296058           8  hlk+04     2.35454E-15          6  hlk+04     39.94          4  hlk+04     3.68   +3.68    tc93       8.19e+06 *       *          *                               
38    J0051+0423    snt97      122.96 -58.49 0.35473179890            1  snt97      7E-18                2  snt97      13.9           1  snt97      0.94   0.94     tc93       8.03e+08 *       *          *                               
39    J0054+66      hrk+08     123.19 3.13   1.39                     0  hrk+08     *                    0  *          15             0  hrk+08     0.81   0.81     tc93       *        *       *          RRAT                            
40    B0052+51      dtws85     123.62 -11.58 2.115171148865           4  hlk+04     9.53764E-15          4  hlk+04     44.125        15  hlk+04     2.40   2.40     tc93       3.51e+06 *       *          *                               

41    B0053+47      dtws85     123.80 -14.93 0.472036662076           7  hlk+04     3.32849E-15          7  hlk+04     18.09          4  hlk+04     1.00   1.00     tc93       2.25e+06 *       *          *                               
42    J0057-7201    ckm+01     302.24 -45.10 0.7380624426             2  ckm+01     1.0E-16              8  ckm+01     27             5  ckm+01     2.49   +2.49    tc93       1.17e+08 *       *          *                               
43    J0058+6125    hrk+08     123.72 -1.45  0.637                    0  hrk+08     *                    0  *          129            0  hrk+08     5.81   5.81     tc93       *        *       *          *                               
44    J0100-7211    lfmp02     301.93 -44.92 8.020392                 9  mgr+05     1.88E-11             8  mgr+05     *              0  *          62.40  *        *          6.76e+03 *       *          AXP,NRAD                        
45    J0101-6422    kcj+12     301.19 -52.72 0.0025731519721683       2  kcj+12     5.16E-21             3  kcj+12     11.926         1  kcj+12     0.73   0.73     tc93       7.9e+09  BT      kcj+12     HE                              

46    J0102+4839    hrm+11     124.93 -14.83 0.00296                  0  hrm+11     *                    0  *          53.5           0  hrm+11     4.03   4.03     tc93       *        BT      hrm+11     HE                              
47    B0059+65      dbtb82     124.08 2.77   1.679164229064          12  hlk+04     5.95492E-15          9  hlk+04     65.853        16  hlk+04     2.45   2.45     tc93       4.47e+06 *       *          *                               
48    J0106+4855    pga+12     125.47 -13.87 0.0831573050050          6  pga+12     4.2792E-16           5  pga+12     70.87         20  pga+12     7.33   +7.33    tc93       3.08e+06 *       *          HE                              
49    J0108-1431    tnj+94     140.93 -76.82 0.807564614019          20  hlk+04     7.704E-17           12  hlk+04     2.38          19  hlk+04     0.21   0.13     tc93       1.66e+08 *       *          *                               
50    B0105+65      dls72      124.65 3.33   1.2836598429             5  hlk+04     1.3051E-14           3  hlk+04     30.46          5  hlk+04     1.65   1.65     tc93       1.56e+06 *       *          *                               

51    B0105+68      dtws85     124.46 6.28   1.071118109859           5  hlk+04     4.809E-17            4  hlk+04     61.092        16  hlk+04     2.59   2.59     tc93       3.53e+08 *       *          *                               
52    J0111-7131    mfl+06     300.67 -45.51 0.68854151164            5  mfl+06     7.092E-15            4  mfl+06     76             3  mfl+06     62.40  +2.46    tc93       1.54e+06 *       *          *                               
53    J0113-7220    ckm+01     300.62 -44.69 0.32588301613            1  ckm+01     4.8590E-15          15  ckm+01     125.49         3  ckm+01     62.40  +2.51    tc93       1.06e+06 *       *          *                               
54    B0114+58      stwd85     126.28 -3.46  0.1014390664824         20  hlk+04     5.849955E-15        17  hlk+04     49.423         4  hlk+04     2.14   2.14     tc93       2.75e+05 *       *          *                               
55    J0131-7310    mfl+06     298.94 -43.65 0.348124045581           7  mfl+06     1.7614E-15           7  mfl+06     205.2          7  mfl+06     62.40  +2.55    tc93       3.13e+06 *       *          *                               

56    J0133-6957    lml+98     297.69 -46.74 0.463473741703           3  dsb+98     1.200E-16            2  dsb+98     22.948         8  dsb+98     2.42   +2.42    tc93       6.12e+07 *       *          *                               
57    J0134-2937    mld+96     230.25 -80.25 0.13696158413510        10  hlk+04     7.83718E-17         10  hlk+04     21.806         6  hlk+04     1.78   +1.78    tc93       2.77e+07 *       *          *                               
58    J0137+1654    lxf+05     138.45 -44.57 0.4147630265082          5  lxf+05     0.01223E-15          3  lxf+05     26.6           4  lxf+05     2.51   +2.51    tc93       5.37e+08 *       *          *                               
59    B0136+57      dth78      129.22 -4.04  0.272450630950          15  hlk+04     1.071167E-14        12  hlk+04     73.779         6  hlk+04     2.60   2.89     tc93       4.03e+05 *       *          *                               
60    B0138+59      mth72      129.15 -2.11  1.2229485205457         18  hlk+04     3.91070E-16         14  hlk+04     34.797        11  hlk+04     2.30   1.78     tc93       4.95e+07 *       *          *                               

61    J0146+6145    ims94      129.38 -0.43  8.6889941                4  dk14       1.99E-12             5  dk14       *              0  *          3.60   *        *          6.91e+04 *       *          AXP,NRAD                        
62    B0144+59      stwd85     130.06 -2.72  0.19632137543003        16  ywml10     2.56763E-16          8  ywml10     40.111         3  hlk+04     1.91   1.91     tc93       1.21e+07 *       *          *                               
63    B0148-06      mlt+78     160.37 -65.00 1.464664549334           7  hlk+04     4.4259E-16           5  hlk+04     25.66          3  hlk+04     1.93   +1.93    tc93       5.24e+07 *       *          *                               
64    J0152+0948    clm+05     146.81 -50.22 2.74664729014           10  clm+05     1.700E-15            4  clm+05     21.87          2  clm+05     2.30   +2.30    tc93       2.56e+07 *       *          *                               
65    B0149-16      mlt+78     179.31 -72.46 0.8327416126878         13  hlk+04     1.299202E-15         6  hlk+04     11.922         4  hlk+04     0.79   0.79     tc93       1.02e+07 *       *          *                               

66    B0153+39      dtws85     136.37 -21.33 1.81156061131           10  hlk+04     1.516E-16           10  hlk+04     60.0           6  hlk+04     4.85   +4.85    tc93       1.89e+08 *       *          *                               
67    B0154+61      dls72      130.59 0.33   2.35174493646            7  hlk+04     1.889254E-13         5  hlk+04     30.21          3  hlk+04     1.61   1.61     tc93       1.97e+05 *       *          *                               
68    J0158+21      dsm+13     143.21 -39.08 0.5053                   0  dsm+13     *                    0  *          20             0  dsm+13     1.45   1.45     tc93       *        *       *          *                               
69    J0205+6449    mss+02     130.72 3.08   0.06571592849324         9  lrc+09     1.93754256E-13       4  lrc+09     140.7          3  csl+02     3.20   7.53     tc93       5.37e+03 *       *          HE                              
70    B0203-40      mlt+78     258.60 -69.63 0.630550140847           6  smd93      1.1994E-15           5  smd93      12.9          12  nmc81      0.88   0.88     tc93       8.33e+06 *       *          *                               

71    J0211-8159    lml+98     299.59 -34.61 1.0773327013             8  dsb+98     2.9E-16              2  dsb+98     24.36          3  dsb+98     1.83   1.83     tc93       5.89e+07 *       *          *                               
72    J0212+5222    bck+13     135.33 -8.52  0.376386292              1  bck+13     6.6E-15              3  bck+13     38             0  bck+13     1.91   1.91     tc93       9.04e+05 *       *          *                               
73    J0215+6218    llc98      132.58 1.03   0.548879819155           3  hlk+04     6.6212E-16           3  hlk+04     84.00          5  hlk+04     3.19   3.19     tc93       1.31e+07 *       *          *                               
74    J0218+4232    nbf+95     139.51 -17.53 0.0023230904678309      17  hlk+04     7.7389E-20          17  hlk+04     61.252         5  hlk+04     5.85   +5.85    tc93       4.76e+08 ELL1    hlk+04     HE[khvb98,aaa+09f]              
75    J0229+20      dsm+13     151.58 -36.42 0.8069                   0  dsm+13     *                    0  *          27             0  dsm+13     2.97   +2.97    tc93       *        *       *          *                               

76    B0226+70      dtws85     131.16 9.18   1.466820306152           7  hlk+04     3.10998E-15          7  hlk+04     46.64          3  hlk+04     2.25   2.25     tc93       7.47e+06 *       *          *                               
77    J0240+62      hrk+08     135.30 1.76   0.592                    0  hrk+08     *                    0  *          4              0  hrk+08     0.21   0.21     tc93       *        *       *          *                               
78    J0241+16      dsm+13     157.96 -39.19 1.5454                   0  dsm+13     *                    0  *          16             0  dsm+13     1.01   1.01     tc93       *        *       *          *                               
79    J0243+6027    hrk+08     136.27 0.50   1.473                    0  hrk+08     *                    0  *          141            0  hrk+08     6.99   6.99     tc93       *        *       *          *                               
80    J0244+14      dsm+13     159.91 -40.14 2.1281                   0  dsm+13     *                    0  *          31             0  dsm+13     2.73   +2.73    tc93       *        *       *          *                               

81    J0248+6021    rcl+99     136.90 0.70   0.217094                 5  tpc+11     5.509E-14            5  tpc+11     370            1  tpc+11     2.00   +23.23   tc93       6.24e+04 *       *          HE[tpc+11]                      
82    B0254-53      lvw69b     269.86 -55.31 0.447708444058           3  smd93      3.06E-17             3  smd93      15.9           5  mlt+78     1.15   1.15     tc93       2.32e+08 *       *          *                               
83    B0301+19      fss73      161.14 -33.27 1.387584446262           3  hlk+04     1.295235E-15        20  hlk+04     15.737         9  hlk+04     0.95   0.95     tc93       1.7e+07  *       *          *                               
84    J0308+74      hrm+11     132.09 13.61  0.00316                  0  hrm+11     *                    0  *          6.35           0  hrm+11     0.34   0.34     tc93       *        *       *          HE                              
85    B0320+39      dth78      152.18 -14.34 3.032071956385          10  hlk+04     6.3562E-16           7  hlk+04     26.01          3  hlk+04     1.49   1.49     tc93       7.56e+07 *       *          *                               

86    J0324+5239    bck+13     145.09 -3.48  0.336620230291           3  bck+13     0.381E-15            3  bck+13     119            0  bck+13     6.28   6.28     tc93       1.4e+07  *       *          *                               
87    J0329+1654    lxf+05     168.50 -31.68 0.893319660649           1  lxf+05     0.21525E-15          6  lxf+05     42.1           2  lxf+05     3.35   +3.35    tc93       6.58e+07 *       *          *                               
88    B0329+54      cp68       145.00 -1.22  0.714519699726           4  hlk+04     2.048265E-15         8  hlk+04     26.7641        1  hsh+12     1.00   1.44     tc93       5.53e+06 *       *          *                               
89    B0331+45      dtws85     150.35 -8.04  0.26920054092953        13  hlk+04     7.3505E-18          10  hlk+04     47.153         3  hlk+04     2.08   2.08     tc93       5.8e+08  *       *          *                               
90    J0337+1715    rsa+14     169.99 -30.04 0.00273258863244         9  rsa+14     1.7666E-20           9  rsa+14     21.3162        3  rsa+14     1.30   1.40     tc93       2.45e+09 ELL1    rsa+14     *                               

91    J0340+4130    hrm+11     154.04 -11.47 0.00329                  0  hrm+11     *                    0  *          49.6           0  hrm+11     2.67   2.67     tc93       *        *       *          HE                              
92    J0341+5711    hrk+08     144.37 1.55   1.888                    0  hrk+08     *                    0  *          100            0  hrk+08     4.47   4.47     tc93       *        *       *          *                               
93    J0343-3000    bjd+06     227.76 -52.34 2.59702715738            9  bjd+06     0.057E-15            9  bjd+06     20.2           3  bjd+06     2.22   +2.22    tc93       7.22e+08 *       *          *                               
94    B0339+53      dth78      147.02 -1.43  1.934478067294          15  hlk+04     1.342243E-14        15  hlk+04     67.30          6  hlk+04     2.48   2.48     tc93       2.28e+06 *       *          *                               
95    J0348+0432    lbr+13     183.34 -36.77 0.0391226569017806       7  afw+13     2.4075E-19           5  afw+13     40.46313      11  afw+13     2.10   +2.94    tc93       2.57e+09 ELL1    afw+13     *                               

96    J0357+3205    aaa+09c    162.76 -16.01 0.4441044988             6  rkp+11     1.3037E-14          20  rkp+11     *              0  *          *      *        *          5.4e+05  *       *          NRAD                            
97    B0353+52      dtws85     149.10 -0.52  0.1970300980314          3  hlk+04     4.76594E-16          3  hlk+04     103.706        4  hlk+04     4.73   4.73     tc93       6.55e+06 *       *          *                               
98    B0355+54      mth72      148.19 0.81   0.1563824177774         15  hlk+04     4.396862E-15        13  hlk+04     57.1420        3  js06       1.00   2.07     tc93       5.64e+05 *       *          HE[to07]                        
99    B0403-76      mlt+78     290.31 -35.91 0.545252742352          16  smd93      1.5382E-15          12  smd93      21.6           4  dmk+93     1.50   1.50     tc93       5.62e+06 *       *          *                               
100   B0402+61      dth78      144.02 7.05   0.5945761650437          8  ywml10     5.57316E-15          3  ywml10     65.303         7  hlk+04     3.05   3.05     tc93       1.69e+06 *       *          *                               

101   J0407+1607    lxf+05     176.62 -25.66 0.02570173919463         2  lxf+05     7.9E-20              3  lxf+05     35.65          2  lxf+05     4.07   +4.07    tc93       5.15e+09 BT      lxf+05     *                               
102   J0408+551     hrk+08     148.66 2.27   1.837                    0  hrk+08     *                    0  *          55             0  hrk+08     2.04   2.04     tc93       *        *       *          *                               
103   J0408+552     hrk+08     148.66 2.27   0.754                    0  hrk+08     *                    0  *          64             0  hrk+08     2.36   2.36     tc93       *        *       *          *                               
104   J0410-31      bbj+11     230.59 -46.67 1.8785                   2  bbj+11     *                    0  *          9.2            3  bbj+11     0.52   0.52     tc93       *        *       *          RRAT                            
105   J0413+58      hrk+08     147.12 4.93   0.687                    0  hrk+08     *                    0  *          57             0  hrk+08     2.24   2.24     tc93       *        *       *          *                               

106   B0410+69      dtws85     138.91 13.67  0.3907150899386          3  hlk+04     7.6601E-17           3  hlk+04     27.465         4  hlk+04     1.57   1.57     tc93       8.08e+07 *       *          *                               
107   J0417+35      cnst96     163.22 -10.52 0.65440                  3  cnst96     *                    0  *          51            10  cnst96     2.68   2.68     tc93       *        *       *          *                               
108   J0418+5732    vck+10     147.98 5.12   9.07838827               4  ert+11     0E-15                6  ert+11     *              0  *          *      *        *          *        *       *          AXP,NRAD                        
109   J0419+44      hrk+08     157.53 -4.49  1.241                    0  hrk+08     *                    0  *          71             0  hrk+08     3.12   3.12     tc93       *        *       *          *                               
110   J0420-5022    hmz+04     258.14 -44.39 3.453004027             12  kv11       2.759E-14           10  kv11       *              0  *          *      *        *          1.98e+06 *       *          XINS,NRAD                       

111   J0421-0345    mld+96     197.50 -34.76 2.161308494552          15  hlk+04     1.16338E-15         15  hlk+04     44.61          9  hlk+04     3.09   +3.09    tc93       2.94e+07 *       *          *                               
112   J0426+4933    hrk+08     154.44 0.29   0.922474730055           2  bck+13     39.3444E-15          2  bck+13     85             0  hrk+08     3.60   3.60     tc93       3.71e+05 *       *          *                               
113   J0435+27      rtj+96     171.86 -13.18 0.3262793                9  rtj+96     *                    0  *          53             5  rtj+96     3.43   3.43     tc93       *        *       *          *                               
114   J0437-4715    jlh+93     253.39 -41.96 0.005757451924362137    99  vbv+08     5.729370E-20         9  vbv+08     2.64476        7  vbv+08     0.16   0.14     tc93       1.59e+09 DD      vbv+08     HE[bt93,aaa+09f]                
115   J0448-2749    lml+98     228.35 -37.92 0.4504483308563         17  hlk+04     1.48347E-16         19  hlk+04     26.22          4  hlk+04     2.87   +2.87    tc93       4.81e+07 *       *          *                               

116   J0449-7031    mfl+06     282.29 -35.51 0.479163971291          14  mfl+06     3.371E-15            4  mfl+06     65.83          7  mfl+06     53.70  +3.03    tc93       2.25e+06 *       *          *                               
117   B0447-12      mlt+78     211.08 -32.63 0.4380141493906          8  hlk+04     1.02649E-16          6  hlk+04     37.041        10  hlk+04     3.27   +3.27    tc93       6.76e+07 *       *          *                               
118   J0451-67      mfl+06     278.41 -36.29 0.24545429               7  mfl+06     0E-15                2  mfl+06     45             1  mfl+06     53.70  +2.97    tc93       *        *       *          *                               
119   B0450-18      vlw69      217.08 -34.09 0.548939223294           3  hlk+04     5.753107E-15        16  hlk+04     39.903         3  hlk+04     0.40   +3.14    tc93       1.51e+06 *       *          *                               
120   J0453+16      dsm+13     184.08 -17.14 0.0458                   0  dsm+13     *                    0  *          30             0  dsm+13     1.81   1.81     tc93       *        BT      dsm+13     *                               

121   B0450+55      dth78      152.62 7.55   0.340729436235          10  hlk+04     2.37227E-15          7  hlk+04     14.495         7  hlk+04     1.18   0.79     tc93       2.28e+06 *       *          *                               
122   B0456-69      mmh+91     281.29 -35.19 0.320422711526          12  ckm+01     1.02119E-14         15  ckm+01     94.89         14  ckm+01     53.70  +3.06    tc93       4.97e+05 *       *          *                               
123   J0456-69      rcl+13     280.46 -35.33 0.117073051             15  rcl+13     *                    0  *          103            1  rcl+13     3.05   +3.05    tc93       *        *       *          *                               
124   J0456-7031    mfl+06     282.05 -34.97 0.80013207321           10  mfl+06     36.70E-15            3  mfl+06     100.3          3  mfl+06     53.70  +3.08    tc93       3.45e+05 *       *          *                               
125   J0457+23      dsm+13     178.31 -12.00 0.5049                   0  dsm+13     *                    0  *          59             0  dsm+13     3.89   3.89     tc93       *        *       *          *                               

126   J0457-6337    mfl+06     273.82 -36.70 2.49701169613           19  mfl+06     0.21E-15             3  mfl+06     27.5          10  mfl+06     2.94   +2.94    tc93       1.88e+08 *       *          *                               
127   J0457-69      rcl+13     281.14 -35.11 0.231390388             73  rcl+13     *                    0  *          91             1  rcl+13     3.06   +3.06    tc93       *        *       *          *                               
128   J0458-0505    lbr+13     204.14 -27.35 1.88347965849           18  lbr+13     5.3E-16             15  lbr+13     47.806        32  lbr+13     3.83   +3.83    tc93       5.63e+07 *       *          *                               
129   J0458-67      rcl+13     278.67 -35.52 1.1339000               18  rcl+13     *                    0  *          97             2  rcl+13     3.03   +3.03    tc93       *        *       *          *                               
130   J0459-0210    mld+96     201.44 -25.68 1.133076123659           6  hlk+04     1.39825E-15          6  hlk+04     21.02          3  hlk+04     1.30   1.30     tc93       1.28e+07 *       *          *                               

131   J0501+4516    gwk08      161.55 1.95   5.76209653               4  gwk+10     5.82E-12             3  gwk+10     *              0  *          *      *        *          1.57e+04 *       *          AXP,NRAD                        
132   B0458+46      dth78      160.36 3.08   0.638565481517           3  hlk+04     5.582339E-15        17  hlk+04     42.187         8  hlk+04     1.78   1.78     tc93       1.81e+06 *       *          *                               
133   B0502-66      mmh+91     276.87 -35.50 0.69125141818            4  ckm+01     2.3090E-14           6  ckm+01     68.9           3  ckm+01     53.70  +3.03    tc93       4.74e+05 *       *          *                               
134   J0509+08      dsm+13     192.48 -17.92 0.0041                   0  dsm+13     *                    0  *          38             0  dsm+13     2.58   2.58     tc93       *        ?       *          *                               
135   J0511-6508    mfl+06     275.25 -34.83 0.322061827468           8  mfl+06     0.206E-15            4  mfl+06     25.66          8  mfl+06     2.17   2.17     tc93       2.48e+07 *       *          *                               

136   J0514-4002A   fgri04     244.51 -35.04 0.004990575114114        3  frg07      1.17E-21            13  frg07      52.1489        6  frg07      12.10  +3.06    tc93       6.75e+10 BT      frg07      *                               
137   J0517+22      cha03      182.12 -9.01  0.222344                 0  cha03      *                    0  *          20             0  cha03      1.10   1.10     tc93       *        *       *          *                               
138   J0519+44      hrk+08     164.46 3.75   0.515                    0  hrk+08     *                    0  *          52             0  hrk+08     2.03   2.03     tc93       *        *       *          *                               
139   J0519-6932    mfl+06     280.29 -33.25 0.263211634568           3  mfl+06     0.6968E-15           5  mfl+06     119.4          5  mfl+06     53.70  +3.21    tc93       5.98e+06 *       *          *                               
140   J0520-2553    lml+98     228.43 -30.54 0.2416421756731          7  hlk+04     3.0092E-17           9  hlk+04     33.77          3  hlk+04     3.47   +3.47    tc93       1.27e+08 *       *          *                               

141   J0521-68      rcl+13     279.12 -33.26 0.43342070              30  rcl+13     *                    0  *          136            4  rcl+13     3.21   +3.21    tc93       *        *       *          *                               
142   J0522-6847    mfl+06     279.35 -33.17 0.67453190906            3  mfl+06     17.727E-15          14  mfl+06     126.45         7  mfl+06     53.70  +3.21    tc93       6.03e+05 *       *          *                               
143   B0523+11      mlt+78     192.70 -13.25 0.35443759451370        13  hlk+04     7.36052E-17          6  hlk+04     79.345         3  hlk+04     7.68   +7.68    tc93       7.63e+07 *       *          *                               
144   J0525-6607    mgi+79     276.09 -33.25 8.0470                   2  kkm+03     6.5E-11              5  kkm+03     *              0  *          *      *        *          1.96e+03 *       *          AXP,NRAD                        
145   B0525+21      sr68       183.86 -6.90  3.74553925030            3  ywml10     4.00530E-14         15  ywml10     50.937        17  hlk+04     2.28   2.28     tc93       1.48e+06 *       *          *                               

146   B0529-66      mhah83     276.97 -32.76 0.97572496638            6  ckm+01     1.5509E-14           6  ckm+01     103.2          3  ckm+01     53.70  +3.26    tc93       9.97e+05 *       *          *                               
147   J0532-6639    mfl+06     276.67 -32.48 0.64274275093            3  mfl+06     5.354E-15           13  mfl+06     69.3          18  mfl+06     53.70  +3.27    tc93       1.9e+06  *       *          *                               
148   J0532-69      rcl+13     280.33 -32.16 0.57459786              70  rcl+13     *                    0  *          124            1  rcl+13     3.30   +3.30    tc93       *        *       *          *                               
149   J0533+0402    snt97      200.08 -15.33 0.96301770198            2  snt97      1.60E-16             1  snt97      83.7           1  snt97      6.66   +6.66    tc93       9.54e+07 *       *          *                               
150   J0533+67      rap+12     145.65 17.64  0.00439                  0  rap+12     *                    0  *          57.4           0  rap+12     5.80   +5.80    tc93       *        *       *          *                               

151   B0531+21      sr68       184.56 -5.78  0.03308471603           11  lps93      4.22765E-13          4  lps93      56.791         1  cr71       2.00   2.49     tc93       1.24e+03 *       *          HE[cdt69,fhm+69,hjm+70]         
152   J0534-6703    mfl+06     277.13 -32.28 1.81756503106           17  mfl+06     425.05E-15           6  mfl+06     94.7          12  mfl+06     53.70  +3.30    tc93       6.78e+04 *       *          *                               
153   J0535-66      rcl+13     276.88 -32.20 0.210524357             30  rcl+13     *                    0  *          75             1  rcl+13     3.30   +3.30    tc93       *        *       *          *                               
154   J0535-6935    ckm+01     280.08 -31.94 0.20051133               2  mfl+06     11.5E-15             3  mfl+06     93.7           4  mfl+06     53.70  +3.33    tc93       2.76e+05 *       *          *                               
